0.965369 1.00093 +- 1.00157e-06 0.000625362 +- 2.05126e-07 1.50202 +- 1.60564e-06 1.00156 +- 1.10959e-06 0.000208454 +- 6.83754e-08 1.50198 +- 6.89757e-05 -nan +- -nan -nan +- -nan 1.00255 +- 2.62397e-06 1.00255 +- 2.28127e-06
0.966603 1.00101 +- 1.13225e-06 0.000668536 +- 2.3385e-07 1.50218 +- 1.81955e-06 1.00168 +- 1.25873e-06 0.000222845 +- 7.79501e-08 1.50226 +- 7.41596e-05 -nan +- -nan -nan +- -nan 1.00276 +- 2.94e-06 1.00276 +- 2.58857e-06
0.967836 1.00109 +- 1.07379e-06 0.000716104 +- 2.72714e-07 1.50236 +- 1.72507e-06 1.00181 +- 1.19674e-06 0.000238701 +- 9.09048e-08 1.50238 +- 7.29245e-05 -nan +- -nan -nan +- -nan 1.00299 +- 2.77964e-06 1.00299 +- 2.4461e-06
0.96907 1.0012 +- 1.2312e-06 0.000770007 +- 3.01972e-07 1.50256 +- 2.02347e-06 1.00197 +- 1.41495e-06 0.000256669 +- 1.00657e-07 1.50261 +- 6.91001e-05 -nan +- -nan -nan +- -nan 1.00326 +- 3.26212e-06 1.00326 +- 2.83368e-06
0.970303 1.00131 +- 1.4659e-06 0.000829671 +- 3.4884e-07 1.5028 +- 2.39305e-06 1.00214 +- 1.66851e-06 0.000276557 +- 1.1628e-07 1.50289 +- 7.01827e-05 -nan +- -nan -nan +- -nan 1.00356 +- 3.85281e-06 1.00356 +- 3.35725e-06
0.971536 1.00143 +- 1.48189e-06 0.000897135 +- 3.82522e-07 1.50305 +- 2.42992e-06 1.00233 +- 1.69915e-06 0.000299045 +- 1.27507e-07 1.50304 +- 7.53363e-05 -nan +- -nan -nan +- -nan 1.00388 +- 3.92522e-06 1.00388 +- 3.41093e-06
0.97277 1.00159 +- 1.75602e-06 0.000975795 +- 4.41469e-07 1.50335 +- 2.89644e-06 1.00256 +- 2.02881e-06 0.000325265 +- 1.47156e-07 1.50339 +- 6.62796e-05 -nan +- -nan -nan +- -nan 1.00428 +- 4.52238e-06 1.00428 +- 4.03548e-06
0.974003 1.00176 +- 2.03419e-06 0.00106442 +- 4.86969e-07 1.50371 +- 3.32774e-06 1.00283 +- 2.32221e-06 0.000354807 +- 1.62323e-07 1.50364 +- 7.47269e-05 -nan +- -nan -nan +- -nan 1.00473 +- 5.21237e-06 1.00473 +- 4.638e-06
0.975237 1.00196 +- 2.31037e-06 0.00116769 +- 5.52492e-07 1.50411 +- 3.75699e-06 1.00313 +- 2.61588e-06 0.00038923 +- 1.84164e-07 1.50411 +- 6.8921e-05 -nan +- -nan -nan +- -nan 1.00526 +- 5.90793e-06 1.00526 +- 5.25027e-06
0.97647 1.00221 +- 2.62374e-06 0.00128805 +- 6.57342e-07 1.5046 +- 4.27651e-06 1.00349 +- 2.98235e-06 0.000429349 +- 2.19114e-07 1.50447 +- 7.57923e-05 -nan +- -nan -nan +- -nan 1.00589 +- 6.55655e-06 1.00589 +- 5.9084e-06
0.977704 1.0025 +- 3.16447e-06 0.00142965 +- 8.02409e-07 1.50517 +- 5.2943e-06 1.00393 +- 3.72748e-06 0.00047655 +- 2.6747e-07 1.50523 +- 7.74851e-05 -nan +- -nan -nan +- -nan 1.00663 +- 7.9931e-06 1.00664 +- 7.24311e-06
0.978937 1.00285 +- 3.61956e-06 0.00160025 +- 9.08521e-07 1.50587 +- 6.00781e-06 1.00445 +- 4.21748e-06 0.000533415 +- 3.0284e-07 1.50586 +- 6.95813e-05 -nan +- -nan -nan +- -nan 1.00753 +- 9.12243e-06 1.00753 +- 8.20125e-06
